Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
1,Aaron Ramsdale,engENG,GK,Southampton,26-354,1998,26,26,"2,340",26.0,60,2.31,169,107,67.5,2,4,20,2,7.7,7,5,2,0,28.6,Matches
2,Alex McCarthy,engENG,GK,Southampton,35-151,1989,5,5,450,5.0,13,2.6,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0,Matches
3,Alex Palmer,engENG,GK,Ipswich Town,28-266,1996,10,10,900,10.0,25,2.5,60,37,60.0,1,2,7,0,0.0,1,1,0,0,0.0,Matches
4,Alisson,brBRA,GK,Liverpool,32-213,1992,24,24,"2,148",23.9,20,0.84,71,52,71.8,18,5,1,9,37.5,0,0,0,0,,Matches
5,Alphonse Areola,frFRA,GK,West Ham,32-065,1993,23,22,"1,990",22.1,38,1.72,103,68,63.1,4,6,12,4,18.2,0,0,0,0,,Matches
6,Altay Bayındır,trTUR,GK,Manchester Utd,27-019,1998,1,1,90,1.0,4,4.0,6,2,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
7,André Onana,cmCMR,GK,Manchester Utd,29-031,1996,33,33,"2,970",33.0,43,1.3,129,86,69.0,10,9,14,9,27.3,4,3,1,0,25.0,Matches
8,Antonín Kinský,czCZE,GK,Tottenham,22-051,2003,4,4,360,4.0,7,1.75,16,11,56.3,1,0,3,1,25.0,0,0,0,0,,Matches
9,Arijanet Muric,xkKVX,GK,Ipswich Town,26-177,1998,18,18,"1,620",18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,0.0,Matches
10,Bart Verbruggen,nlNED,GK,Brighton,22-258,2002,32,32,"2,880",32.0,54,1.69,128,76,63.3,11,12,9,6,18.8,7,7,0,0,0.0,Matches
11,Bernd Leno,deGER,GK,Fulham,33-060,1992,34,34,"3,060",34.0,46,1.35,139,95,68.3,14,9,11,5,14.7,2,2,0,0,0.0,Matches
12,Brandon Austin,engENG,GK,Tottenham,26-115,1999,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
13,Caoimhín Kelleher,ieIRL,GK,Liverpool,26-161,1998,10,10,900,10.0,12,1.2,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0,Matches
14,Christian Walton,engENG,GK,Ipswich Town,29-175,1995,6,6,540,6.0,16,2.67,33,17,57.6,1,1,4,1,16.7,2,2,0,0,0.0,Matches
15,Daniel Bentley,engENG,GK,Wolves,31-294,1993,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
16,Danny Ward,wlsWAL,GK,Leicester City,31-315,1993,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
17,David Raya,esESP,GK,Arsenal,29-230,1995,34,34,"3,060",34.0,29,0.85,106,77,75.5,18,13,3,12,35.3,3,3,0,0,0.0,Matches
18,Dean Henderson,engENG,GK,Crystal Palace,28-052,1997,34,34,"3,060",34.0,47,1.38,139,94,66.9,11,12,11,10,29.4,2,1,1,0,50.0,Matches
19,Ederson,brBRA,GK,Manchester City,31-259,1993,23,23,"2,050",22.8,25,1.1,73,49,68.5,14,3,6,8,34.8,2,2,0,0,0.0,Matches
20,Emiliano Martínez,arARG,GK,Aston Villa,32-243,1992,33,33,"2,880",32.0,45,1.41,129,83,65.9,15,9,9,5,15.2,2,1,1,0,50.0,Matches
21,Filip Jørgensen,dkDEN,GK,Chelsea,23-017,2002,6,6,540,6.0,9,1.5,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0,Matches
22,Fraser Forster,engENG,GK,Tottenham,37-047,1988,7,7,630,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,0.0,Matches
23,Guglielmo Vicario,itITA,GK,Tottenham,28-208,1996,22,22,"1,980",22.0,32,1.45,92,62,65.2,9,2,11,4,18.2,0,0,0,0,,Matches
24,Hákon Rafn Valdimarsson,isISL,GK,Brentford,23-202,2001,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,,Matches
25,Jakub Stolarczyk,plPOL,GK,Leicester City,24-135,2000,6,6,540,6.0,12,2.0,29,17,58.6,1,0,5,0,0.0,0,0,0,0,,Matches
26,Jason Steele,engENG,GK,Brighton,34-258,1990,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,Matches
27,Joe Lumley,engENG,GK,Southampton,30-077,1995,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,,Matches
28,Jordan Pickford,engENG,GK,Everton,31-057,1994,34,34,"3,060",34.0,41,1.21,144,101,71.5,8,14,12,10,29.4,2,0,2,0,100.0,Matches
29,José Sá,ptPOR,GK,Wolves,32-106,1993,27,27,"2,430",27.0,45,1.67,108,63,62.0,11,4,12,7,25.9,6,4,2,0,33.3,Matches
30,Kepa Arrizabalaga,esESP,GK,Bournemouth,30-212,1994,27,27,"2,430",27.0,34,1.26,122,88,75.4,11,7,9,7,25.9,4,4,0,0,0.0,Matches
31,Mads Hermansen,dkDEN,GK,Leicester City,24-296,2000,27,27,"2,385",26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0,Matches
32,Mark Flekken,nlNED,GK,Brentford,31-324,1993,33,33,"2,915",32.4,48,1.48,181,135,74.0,14,7,12,6,18.2,1,1,0,0,0.0,Matches
33,Mark Travers,ieIRL,GK,Bournemouth,25-350,1999,5,5,450,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,Matches
34,Martin Dúbravka,skSVK,GK,Newcastle Utd,36-108,1989,10,10,900,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,,Matches
35,Matz Sels,beBEL,GK,Nott'ham Forest,33-066,1992,34,34,"3,060",34.0,41,1.21,149,108,73.8,18,6,10,13,38.2,2,2,0,0,0.0,Matches
36,Neto,brBRA,GK,Bournemouth,35-288,1989,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,,Matches
37,Nick Pope,engENG,GK,Newcastle Utd,33-014,1992,24,24,"2,160",24.0,32,1.33,105,74,70.5,12,5,7,7,29.2,2,1,1,0,50.0,Matches
38,Robert Sánchez,esESP,GK,Chelsea,27-166,1997,28,28,"2,520",28.0,31,1.11,116,84,76.7,14,9,5,8,28.6,5,4,1,0,20.0,Matches
39,Robin Olsen,seSWE,GK,Aston Villa,35-115,1990,3,1,180,2.0,4,2.0,9,5,55.6,1,0,0,1,100.0,0,0,0,0,,Matches
40,Sam Johnstone,engENG,GK,Wolves,32-039,1993,7,7,630,7.0,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0,Matches
41,Stefan Ortega,deGER,GK,Manchester City,32-178,1992,13,12,"1,100",12.2,18,1.47,50,33,68.0,5,4,3,3,25.0,2,2,0,0,0.0,Matches
42,Vitezslav Jaros,czCZE,GK,Liverpool,23-284,2001,1,0,12,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches
43,Łukasz Fabiański,plPOL,GK,West Ham,40-015,1985,13,12,"1,070",11.9,20,1.68,67,47,74.6,5,3,4,2,16.7,3,3,0,0,0.0,Matches
