Player,Squad
Adam Armstrong,Southampton
Alphonse Areola,West Ham
Arijanet Muric,Ipswich Town
Idrissa Gana Gueye,Everton
Igor,Brighton
Ismaila Sarr,Crystal Palace
Jeremy Doku,Manchester City
Jurriën Timber,Arsenal
Kyle Walker,Manchester City
Mads Roerslev,Brentford
Manuel Ugarte Ribeiro,Manchester Utd
Mario Lemina,Wolves
Milos Kerkez,Bournemouth
Omari Hutchinson,Ipswich Town
Radu Drăgușin,Tottenham
Rasmus Højlund,Manchester Utd
Rayan Aït-Nouri,Wolves
Son Heung-min,Tottenham
Victor Bernth Kristiansen,Leicester City
